season,date,home_team_id,home_team_name_j,away_team_id,away_team_name_j,candidate_status,note,counted_team_ids
2017-18,2018-01-01,704,千葉ジェッツ,706,アルバルク東京,candidate,,
2017-18,2018-04-14,704,千葉ジェッツ,718,西宮ストークス,candidate,,
2018-19,2017-11-18,694,横浜ビー・コルセアーズ,753,ライジングゼファー福岡,candidate,,
2018-19,2019-03-13,703,栃木ブレックス,726,サンロッカーズ渋谷,candidate,,
2018-19,2019-04-10,697,三遠ネオフェニックス,727,川崎ブレイブサンダース,candidate,,
2019-20,2019-10-20,696,富山グラウジーズ,700,大阪エヴェッサ,candidate,,
2022-23,2022-10-09,695,新潟アルビレックスBB,698,滋賀レイクス,candidate,同一カードの2022-12-29表記は除外,
2022-23,2023-01-29,713,群馬クレインサンダーズ,701,琉球ゴールデンキングス,candidate,,
2022-23,2022-09-29,728,シーホース三河,729,名古屋ダイヤモンドドルフィンズ,candidate,,
2023-24,2023-11-05,693,秋田ノーザンハピネッツ,1638,佐賀バルーナーズ,candidate,,
2023-24,2024-01-06,713,群馬クレインサンダーズ,720,島根スサノオマジック,candidate,,
2023-24,2024-01-21,693,秋田ノーザンハピネッツ,2488,長崎ヴェルカ,candidate,,
2023-24,2024-01-27,706,アルバルク東京,700,大阪エヴェッサ,candidate,,
2023-24,2024-01-31,717,ファイティングイーグルス名古屋,727,川崎ブレイブサンダース,candidate,,
2023-24,2024-03-06,2488,長崎ヴェルカ,729,名古屋ダイヤモンドドルフィンズ,candidate,729の表記を長崎から名古屋Dへ補正,
2023-24,2024-03-20,692,仙台89ERS,702,レバンガ北海道,candidate,仙台のTeamIDを1638から692へ補正,
2023-24,2024-03-31,693,秋田ノーザンハピネッツ,726,サンロッカーズ渋谷,candidate,,
2023-24,2024-04-06,721,広島ドラゴンフライズ,727,川崎ブレイブサンダース,candidate,,
2023-24,2023-12-17,726,サンロッカーズ渋谷,704,千葉ジェッツ,candidate,24-25表記から23-24へ補正,
2023-24,2024-04-27,706,アルバルク東京,713,群馬クレインサンダーズ,candidate,,
2024-25,2024-10-27,693,秋田ノーザンハピネッツ,720,島根スサノオマジック,candidate,,
2024-25,2024-12-14,701,琉球ゴールデンキングス,693,秋田ノーザンハピネッツ,candidate,,
2024-25,2024-12-15,1638,佐賀バルーナーズ,721,広島ドラゴンフライズ,candidate,,
2024-25,2025-01-25,729,名古屋ダイヤモンドドルフィンズ,700,大阪エヴェッサ,candidate,,
2024-25,2025-02-08,701,琉球ゴールデンキングス,726,サンロッカーズ渋谷,candidate,,
2024-25,2025-03-02,701,琉球ゴールデンキングス,2488,長崎ヴェルカ,candidate,,
2024-25,2025-03-19,697,三遠ネオフェニックス,727,川崎ブレイブサンダース,candidate,,
2024-25,2025-03-19,704,千葉ジェッツ,713,群馬クレインサンダーズ,candidate,,
2024-25,2025-03-29,1638,佐賀バルーナーズ,726,サンロッカーズ渋谷,candidate,,
2024-25,2025-04-06,727,川崎ブレイブサンダース,717,ファイティングイーグルス名古屋,candidate,,
2024-25,2025-04-16,720,島根スサノオマジック,721,広島ドラゴンフライズ,candidate,,
2024-25,2025-04-26,2488,長崎ヴェルカ,699,京都ハンナリーズ,candidate,,
2024-25,2025-04-26,729,名古屋ダイヤモンドドルフィンズ,697,三遠ネオフェニックス,candidate,,
2024-25,2025-10-26,692,仙台89ERS,745,越谷アルファーズ,candidate,今回追加。残余差異に対応,692|745
2022-23,2022-10-23,696,富山グラウジーズ,726,サンロッカーズ渋谷,candidate,富山側のみカウント。渋谷側は既存差異なし,696
2022-23,2022-10-02,697,三遠ネオフェニックス,727,川崎ブレイブサンダース,candidate,今回追加。残余差異に対応,697|727
2017-18,2017-12-29,697,三遠ネオフェニックス,702,レバンガ北海道,candidate,今回追加。残余差異に対応,697|702
2022-23,2022-10-16,728,シーホース三河,699,京都ハンナリーズ,candidate,今回追加。残余差異に対応,728|699
2021-22,2021-09-30,701,琉球ゴールデンキングス,706,アルバルク東京,candidate,今回追加。残余差異に対応,701|706
2022-23,2022-10-01,713,群馬クレインサンダーズ,698,滋賀レイクス,candidate,群馬側のみカウント。滋賀側は既存候補で充足,713
