player_id,old_player_id,player_name_j,player_name_e,nationality,player_slot_category,last_seen_team_id,last_seen_jersey_number,created_at,updated_at
18396,,デイビッド・ドブラス,David Doblas,スペイン,外国籍選手,698,13,2026-03-05 23:32:08.441358+00,2026-03-05 23:32:08.441358+00
33032,,ジャスティン・ハーパー,Justin Harper,アメリカ合衆国,外国籍選手,717,32,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000410,,マーク・スミス,Mark Smith,アメリカ合衆国,外国籍選手,2488,13,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000100,,マックス・ヒサタケ,Max Hisatake,アメリカ合衆国,外国籍選手,712,5,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
51000480,,タナー・グローヴス,Tanner Groves,アメリカ合衆国,外国籍選手,2488,22,2026-03-03 08:46:17.378534+00,2026-03-03 08:46:17.378534+00
51000292,,トーマス・ウィンブッシュ,Thomas Wimbush,アメリカ合衆国,外国籍選手,727,20,2026-03-03 08:46:17.378534+00,2026-03-03 08:46:17.378534+00
40156,,スティーブン・グリーン,Steven Green,アメリカ合衆国,外国籍選手,695,7,2026-03-05 23:41:53.163476+00,2026-03-05 23:41:53.163476+00
51000308,,ロン･ジェイ･アバリエントス,Rhon Jhay Abarrientos,フィリピン,外国籍選手,716,0,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
32992,,ジェームズ・マイケル・マカドゥ,James Michael McAdoo,アメリカ合衆国,外国籍選手,726,14,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000399,,ザイラン・チータム,Zylan Cheatham,アメリカ合衆国,外国籍選手,729,45,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
5100000081,,アイザック・フォトゥ,Isaac Fotu,ニュージーランド,外国籍選手,703,42,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
26891,,ニック・パーキンズ,Nick Perkins,アメリカ合衆国,外国籍選手,2488,33,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
18166,,マーキース・カミングス,Markeith Cummings,アメリカ合衆国,外国籍選手,698,2,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
26886,,マット・ボンズ,Matt Bonds,アメリカ合衆国,外国籍選手,2488,5,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000304,,ジャレル・ブラントリー,Jarrell Brantley,アメリカ合衆国,外国籍選手,2488,7,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
26917,,テレンス・キング,Terrance King,アメリカ合衆国,外国籍選手,698,23,2026-03-05 23:32:08.441358+00,2026-03-05 23:32:08.441358+00
51000382,,游 艾喆,Ai-Che Yu,チャイニーズタイペイ,外国籍選手,698,7,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
9332,,ナイジェル・スパイクス,Nigel Spikes,アメリカ合衆国,外国籍選手,696,11,2026-03-05 23:42:32.377315+00,2026-03-05 23:42:32.377315+00
12631,,ジョシュ・スコット,Josh Scott,アメリカ合衆国,外国籍選手,703,40,2026-03-05 13:29:27.395803+00,2026-03-05 13:29:27.395803+00
20033,,セドリック・シモンズ,Cedric Simmons,アメリカ合衆国,外国籍選手,728,22,2026-03-05 23:32:08.441358+00,2026-03-05 23:32:08.441358+00
51000259,,カイ・ソット,Kai Sotto,フィリピン,外国籍選手,721,11,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
51000429,,マイケル・オウ,Michael Ou,中国,外国籍選手,704,7,2026-02-24 05:57:28.719254+00,2026-02-24 05:57:28.719254+00
